title,token,pos,entity
Hadits Muslim Nomor 1,Dan,CONJ,O
Hadits Muslim Nomor 1,ia,PRON,O
Hadits Muslim Nomor 1,merupakan,VERB,O
Hadits Muslim Nomor 1,atsar,NOUN,O
Hadits Muslim Nomor 1,yang,PRON,O
Hadits Muslim Nomor 1,masyhur,VERB,O
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,Rasulullah,PROPN,B-PER
Hadits Muslim Nomor 1,shallallahu,PROPN,I-PER
Hadits Muslim Nomor 1,',PUNCT,I-PER
Hadits Muslim Nomor 1,alaihi,PROPN,I-PER
Hadits Muslim Nomor 1,wasallam,PROPN,I-PER
Hadits Muslim Nomor 1,Barangsiapa,PROPN,O
Hadits Muslim Nomor 1,menceritakan,VERB,O
Hadits Muslim Nomor 1,hadits,NOUN,O
Hadits Muslim Nomor 1,dariku,NOUN,O
Hadits Muslim Nomor 1,yang,PRON,O
Hadits Muslim Nomor 1,mana,NOUN,O
Hadits Muslim Nomor 1,riwayat,NOUN,O
Hadits Muslim Nomor 1,itu,DET,O
Hadits Muslim Nomor 1,diduga,ADV,O
Hadits Muslim Nomor 1,adalah,VERB,O
Hadits Muslim Nomor 1,kebohongan,NOUN,O
Hadits Muslim Nomor 1,maka,CONJ,O
Hadits Muslim Nomor 1,dia,PRON,O
Hadits Muslim Nomor 1,perawi,VERB,O
Hadits Muslim Nomor 1,adalah,VERB,O
Hadits Muslim Nomor 1,salah,DET,O
Hadits Muslim Nomor 1,satu,DET,O
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,para,DET,O
Hadits Muslim Nomor 1,pembohong,NOUN,O
Hadits Muslim Nomor 1,tersebut,DET,O
Hadits Muslim Nomor 1,Telah,ADV,O
Hadits Muslim Nomor 1,menceritakan,VERB,O
Hadits Muslim Nomor 1,kepada,ADP,O
Hadits Muslim Nomor 1,kami,PRON,O
Hadits Muslim Nomor 1,Abu,PROPN,B-PER
Hadits Muslim Nomor 1,Bakar,PROPN,I-PER
Hadits Muslim Nomor 1,bin,PROPN,I-PER
Hadits Muslim Nomor 1,Abu,PROPN,I-PER
Hadits Muslim Nomor 1,Syaibah,PROPN,I-PER
Hadits Muslim Nomor 1,telah,ADV,O
Hadits Muslim Nomor 1,menceritakan,VERB,O
Hadits Muslim Nomor 1,kepada,ADP,O
Hadits Muslim Nomor 1,kami,PRON,O
Hadits Muslim Nomor 1,Waki,PROPN,B-PER
Hadits Muslim Nomor 1,',PUNCT,I-PER
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,Syu'bah,PROPN,B-PER
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,al,PROPN,B-PER
Hadits Muslim Nomor 1,Hakam,PROPN,I-PER
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,Abdurrahman,PROPN,B-PER
Hadits Muslim Nomor 1,bin,PROPN,I-PER
Hadits Muslim Nomor 1,Abu,PROPN,I-PER
Hadits Muslim Nomor 1,Laila,PROPN,I-PER
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,Samurah,PROPN,B-PER
Hadits Muslim Nomor 1,bin,PROPN,I-PER
Hadits Muslim Nomor 1,Jundab,PROPN,I-PER
Hadits Muslim Nomor 1,dalam,ADP,O
Hadits Muslim Nomor 1,riwayat,NOUN,O
Hadits Muslim Nomor 1,lain,ADJ,O
Hadits Muslim Nomor 1,disebutkan,VERB,O
Hadits Muslim Nomor 1,dan,CONJ,O
Hadits Muslim Nomor 1,juga,ADV,O
Hadits Muslim Nomor 1,telah,ADV,O
Hadits Muslim Nomor 1,menceritakan,VERB,O
Hadits Muslim Nomor 1,kepada,ADP,O
Hadits Muslim Nomor 1,kami,PRON,O
Hadits Muslim Nomor 1,Abu,PROPN,B-PER
Hadits Muslim Nomor 1,Bakar,PROPN,I-PER
Hadits Muslim Nomor 1,bin,PROPN,I-PER
Hadits Muslim Nomor 1,Abu,PROPN,I-PER
Hadits Muslim Nomor 1,Syaibah,PROPN,I-PER
Hadits Muslim Nomor 1,telah,ADV,O
Hadits Muslim Nomor 1,menceritakan,VERB,O
Hadits Muslim Nomor 1,kepada,ADP,O
Hadits Muslim Nomor 1,kami,PRON,O
Hadits Muslim Nomor 1,Waki,PROPN,B-PER
Hadits Muslim Nomor 1,',PUNCT,I-PER
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,Syu'bah,PROPN,B-PER
Hadits Muslim Nomor 1,dan,CONJ,O
Hadits Muslim Nomor 1,Sufyan,PROPN,B-PER
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,Habib,PROPN,B-PER
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,Maimun,PROPN,B-PER
Hadits Muslim Nomor 1,bin,PROPN,I-PER
Hadits Muslim Nomor 1,Abu,PROPN,I-PER
Hadits Muslim Nomor 1,Syabib,PROPN,I-PER
Hadits Muslim Nomor 1,dari,ADP,O
Hadits Muslim Nomor 1,al,PROPN,B-PER
Hadits Muslim Nomor 1,-,PUNCT,I-PER
Hadits Muslim Nomor 1,Mughirah,PROPN,I-PER
Hadits Muslim Nomor 1,bin,PROPN,I-PER
Hadits Muslim Nomor 1,Syu'bah,PROPN,I-PER
Hadits Muslim Nomor 1,keduanya,ADJ,O
Hadits Muslim Nomor 1,berkata,VERB,O
Hadits Muslim Nomor 1,Rasulullah,PROPN,B-PER
Hadits Muslim Nomor 1,shallallahu,PROPN,I-PER
Hadits Muslim Nomor 1,',PUNCT,I-PER
Hadits Muslim Nomor 1,alaihi,PROPN,I-PER
Hadits Muslim Nomor 1,wasallam,PROPN,I-PER
Hadits Muslim Nomor 1,bersabda,VERB,O
Hadits Muslim Nomor 1,tentang,ADP,O
Hadits Muslim Nomor 1,hal,NOUN,O
Hadits Muslim Nomor 1,tersebut,DET,O
Hadits Muslim Nomor 2,Dan,CONJ,O
Hadits Muslim Nomor 2,telah,ADV,O
Hadits Muslim Nomor 2,menceritakan,VERB,O
Hadits Muslim Nomor 2,kepada,ADP,O
Hadits Muslim Nomor 2,kami,PRON,O
Hadits Muslim Nomor 2,Abu,PROPN,B-PER
Hadits Muslim Nomor 2,Bakar,PROPN,I-PER
Hadits Muslim Nomor 2,bin,PROPN,I-PER
Hadits Muslim Nomor 2,Abu,PROPN,I-PER
Hadits Muslim Nomor 2,Syaibah,PROPN,I-PER
Hadits Muslim Nomor 2,telah,ADV,O
Hadits Muslim Nomor 2,menceritakan,VERB,O
Hadits Muslim Nomor 2,kepada,ADP,O
Hadits Muslim Nomor 2,kami,PRON,O
Hadits Muslim Nomor 2,Ghundar,PROPN,B-PER
Hadits Muslim Nomor 2,dari,ADP,O
Hadits Muslim Nomor 2,Syu'bah,PROPN,B-PER
Hadits Muslim Nomor 2,dalam,ADP,O
Hadits Muslim Nomor 2,riwayat,NOUN,O
Hadits Muslim Nomor 2,lain,ADJ,O
Hadits Muslim Nomor 2,disebutkan,VERB,O
Hadits Muslim Nomor 2,Dan,CONJ,O
Hadits Muslim Nomor 2,telah,ADV,O
Hadits Muslim Nomor 2,menceritakan,VERB,O
Hadits Muslim Nomor 2,kepada,ADP,O
Hadits Muslim Nomor 2,kami,PRON,O
Hadits Muslim Nomor 2,Muhammad,PROPN,B-PER
Hadits Muslim Nomor 2,bin,PROPN,I-PER
Hadits Muslim Nomor 2,al,PROPN,I-PER
Hadits Muslim Nomor 2,Mutsanna,PROPN,I-PER
Hadits Muslim Nomor 2,dan,CONJ,O
Hadits Muslim Nomor 2,Ibnu,PROPN,B-PER
Hadits Muslim Nomor 2,Basysyar,PROPN,I-PER
Hadits Muslim Nomor 2,keduanya,NOUN,O
Hadits Muslim Nomor 2,berkata,VERB,O
Hadits Muslim Nomor 2,telah,ADV,O
Hadits Muslim Nomor 2,menceritakan,VERB,O
Hadits Muslim Nomor 2,kepada,ADP,O
Hadits Muslim Nomor 2,kami,PRON,O
Hadits Muslim Nomor 2,Muhammad,PROPN,B-PER
Hadits Muslim Nomor 2,bin,PROPN,I-PER
Hadits Muslim Nomor 2,Ja'far,PROPN,I-PER
Hadits Muslim Nomor 2,telah,ADV,O
Hadits Muslim Nomor 2,menceritakan,VERB,O
Hadits Muslim Nomor 2,kepada,ADP,O
Hadits Muslim Nomor 2,kami,PRON,O
Hadits Muslim Nomor 2,Syu'bah,PROPN,B-PER
Hadits Muslim Nomor 2,dari,ADP,O
Hadits Muslim Nomor 2,Manshur,PROPN,B-PER
Hadits Muslim Nomor 2,dari,ADP,O
Hadits Muslim Nomor 2,Rib'i,PROPN,B-PER
Hadits Muslim Nomor 2,bin,PROPN,I-PER
Hadits Muslim Nomor 2,Hirasy,PROPN,I-PER
Hadits Muslim Nomor 2,bahwasanya,ADP,O
Hadits Muslim Nomor 2,dia,PRON,O
Hadits Muslim Nomor 2,mendengar,VERB,O
Hadits Muslim Nomor 2,Ali,PROPN,B-PER
Hadits Muslim Nomor 2,berkhuthbah,VERB,O
Hadits Muslim Nomor 2,dia,PRON,O
Hadits Muslim Nomor 2,berkata,VERB,O
Hadits Muslim Nomor 2,Rasulullah,PROPN,B-PER
Hadits Muslim Nomor 2,shallallahu,PROPN,I-PER
Hadits Muslim Nomor 2,',PUNCT,I-PER
Hadits Muslim Nomor 2,alaihi,PROPN,I-PER
Hadits Muslim Nomor 2,wasallam,PROPN,I-PER
Hadits Muslim Nomor 2,bersabda,VERB,O
Hadits Muslim Nomor 2,Janganlah,ADV,O
Hadits Muslim Nomor 2,kalian,NOUN,O
Hadits Muslim Nomor 2,berdusta,VERB,O
Hadits Muslim Nomor 2,atas,ADP,O
Hadits Muslim Nomor 2,namaku,NOUN,O
Hadits Muslim Nomor 2,karena,CONJ,O
Hadits Muslim Nomor 2,siapa,NOUN,O
Hadits Muslim Nomor 2,yang,PRON,O
Hadits Muslim Nomor 2,berdusta,VERB,O
Hadits Muslim Nomor 2,atas,ADP,O
Hadits Muslim Nomor 2,namaku,NOUN,O
Hadits Muslim Nomor 2,niscaya,ADV,O
Hadits Muslim Nomor 2,dia,PRON,O
Hadits Muslim Nomor 2,masuk,VERB,O
Hadits Muslim Nomor 2,neraka,NOUN,O
Hadits Muslim Nomor 3,Telah,ADV,O
Hadits Muslim Nomor 3,menceritakan,VERB,O
Hadits Muslim Nomor 3,kepada,ADP,O
Hadits Muslim Nomor 3,kami,PRON,O
Hadits Muslim Nomor 3,Zuhair,PROPN,B-PER
Hadits Muslim Nomor 3,bin,PROPN,I-PER
Hadits Muslim Nomor 3,Harb,PROPN,I-PER
Hadits Muslim Nomor 3,telah,ADV,O
Hadits Muslim Nomor 3,menceritakan,VERB,O
Hadits Muslim Nomor 3,kepada,ADP,O
Hadits Muslim Nomor 3,kami,PRON,O
Hadits Muslim Nomor 3,Ismail,PROPN,B-PER
Hadits Muslim Nomor 3,-,PUNCT,O
Hadits Muslim Nomor 3,yaitu,ADV,O
Hadits Muslim Nomor 3,Ibnu,PROPN,B-PER
Hadits Muslim Nomor 3,',PUNCT,I-PER
Hadits Muslim Nomor 3,Ulayyah,PROPN,I-PER
Hadits Muslim Nomor 3,-,PUNCT,O
Hadits Muslim Nomor 3,dari,ADP,O
