,title,token,pos,entity,predicted_entity
0,Hadits Muslim Nomor 10,',PUNCT,O,O
1,Hadits Muslim Nomor 10,Dia,PRON,O,O
2,Hadits Muslim Nomor 10,bertanya,VERB,O,O
3,Hadits Muslim Nomor 10,lagi,ADV,O,O
4,Hadits Muslim Nomor 10,',PUNCT,O,O
5,Hadits Muslim Nomor 10,Wahai,PROPN,O,O
6,Hadits Muslim Nomor 10,Rasulullah,PROPN,B-PER,B-PER
7,Hadits Muslim Nomor 10,apakah,ADV,O,O
8,Hadits Muslim Nomor 10,ihsan,NOUN,O,O
9,Hadits Muslim Nomor 10,itu,DET,O,O
10,Hadits Muslim Nomor 10,?,PUNCT,O,O
11,Hadits Muslim Nomor 10,',PUNCT,O,O
12,Hadits Muslim Nomor 10,Beliau,PRON,O,O
13,Hadits Muslim Nomor 10,menjawab,VERB,O,O
14,Hadits Muslim Nomor 10,',PUNCT,O,O
15,Hadits Muslim Nomor 10,Kamu,PROPN,O,O
16,Hadits Muslim Nomor 10,menyembah,VERB,O,O
17,Hadits Muslim Nomor 10,Allah,PROPN,O,O
18,Hadits Muslim Nomor 10,seakan,ADV,O,O
19,Hadits Muslim Nomor 10,-,PUNCT,O,O
20,Hadits Muslim Nomor 10,akan,ADV,O,O
21,Hadits Muslim Nomor 10,kamu,PRON,O,O
22,Hadits Muslim Nomor 10,melihat,VERB,O,O
23,Hadits Muslim Nomor 10,-,PUNCT,O,O
24,Hadits Muslim Nomor 10,Nya,NOUN,O,O
25,Hadits Muslim Nomor 10,maka,CONJ,O,O
26,Hadits Muslim Nomor 10,jika,CONJ,O,O
27,Hadits Muslim Nomor 10,kamu,PRON,O,O
28,Hadits Muslim Nomor 10,tidak,X,O,O
29,Hadits Muslim Nomor 10,melihat,VERB,O,O
30,Hadits Muslim Nomor 10,-,PUNCT,O,O
31,Hadits Muslim Nomor 10,Nya,PROPN,O,O
32,Hadits Muslim Nomor 10,maka,CONJ,O,O
33,Hadits Muslim Nomor 10,sesungguhnya,ADV,O,O
34,Hadits Muslim Nomor 10,Dia,PROPN,O,O
35,Hadits Muslim Nomor 10,melihatmu,ADJ,O,O
36,Hadits Muslim Nomor 10,',PUNCT,O,O
37,Hadits Muslim Nomor 10,Dia,PRON,O,O
38,Hadits Muslim Nomor 10,bertanya,VERB,O,O
39,Hadits Muslim Nomor 10,lagi,ADV,O,O
40,Hadits Muslim Nomor 10,',PUNCT,O,O
41,Hadits Muslim Nomor 10,Wahai,PROPN,O,O
42,Hadits Muslim Nomor 10,Rasulullah,PROPN,I-PER,B-PER
43,Hadits Muslim Nomor 10,kapankah,PROPN,O,O
44,Hadits Muslim Nomor 10,hari,NOUN,O,O
45,Hadits Muslim Nomor 10,kiamat,NOUN,O,O
46,Hadits Muslim Nomor 10,itu,DET,O,O
47,Hadits Muslim Nomor 10,?,PUNCT,O,O
48,Hadits Muslim Nomor 10,',PUNCT,O,O
49,Hadits Muslim Nomor 10,Beliau,PRON,O,O
50,Hadits Muslim Nomor 10,menjawab,VERB,O,O
51,Hadits Muslim Nomor 10,',PUNCT,O,O
52,Hadits Muslim Nomor 10,Tidaklah,NOUN,O,O
53,Hadits Muslim Nomor 10,orang,NOUN,O,O
54,Hadits Muslim Nomor 10,yang,PRON,O,O
55,Hadits Muslim Nomor 10,ditanya,VERB,O,O
56,Hadits Muslim Nomor 10,tentangnya,NOUN,O,O
57,Hadits Muslim Nomor 10,lebih,ADV,O,O
